Wall time,Step,Value
1503369574.677247,1,0.8920440077781677
1503370041.447478,1001,0.512530505657196
1503370517.215026,2001,0.44317319989204407
1503370985.171754,3001,0.35666027665138245
1503371450.274446,4001,0.2928802967071533
1503371929.346399,5001,0.19688302278518677
1503372408.39261,6001,0.13801704347133636
1503372886.733545,7001,0.1106921136379242
1503373363.362404,8001,0.08717407286167145
1503373839.834317,9001,0.0857364684343338
1503374318.503915,10001,0.07331433147192001
1503374802.444324,11001,0.07706638425588608
1503375279.389205,12001,0.06169278547167778
1503375752.728541,13001,0.059477031230926514
1503376226.577342,14001,0.061632610857486725
1503376699.448754,15001,0.06138858571648598
1503377174.465165,16001,0.05955960601568222
1503377653.261056,17001,0.04774799197912216
1503378126.625743,18001,0.05300581455230713
1503378604.128631,19001,0.047743991017341614
1503379079.647434,20001,0.05426724627614021
1503379555.901424,21001,0.04658582806587219
1503380028.219916,22001,0.04909271374344826
1503380498.204313,23001,0.05326574668288231
1503380962.853232,24001,0.05447468161582947
1503381428.927937,25001,0.05708151310682297
1503381893.354328,26001,0.051777616143226624
1503382360.002207,27001,0.046131476759910583
1503382825.077767,28001,0.04513547569513321
1503383290.90524,29001,0.044165026396512985
