Wall time,Step,Value
1502209477.065396,1,0.9871935844421387
1502210175.629644,1001,0.5611526370048523
1502210858.027971,2001,0.48091334104537964
1502211539.450148,3001,0.3693326711654663
1502212228.305266,4001,0.2690610885620117
1502212916.163691,5001,0.1852252036333084
1502213605.455342,6001,0.11786147207021713
1502214290.655429,7001,0.10585799068212509
1502214974.834744,8001,0.11575613915920258
1502215664.377923,9001,0.09277261048555374
1502216342.813149,10001,0.08084549009799957
1502217004.542623,11001,0.07447165995836258
1502217677.840079,12001,0.07388914376497269
1502218338.794636,13001,0.06354445964097977
1502219000.20777,14001,0.058855485171079636
1502219659.079145,15001,0.06558254361152649
1502220348.8056,16001,0.051907140761613846
1502221033.399544,17001,0.04890892282128334
1502221718.709654,18001,0.04604059085249901
1502222403.268966,19001,0.04389917105436325
1502223087.183902,20001,0.04280887916684151
1502223772.410776,21001,0.04196497052907944
1502224457.815937,22001,0.038901761174201965
1502225141.198389,23001,0.04273799806833267
1502225826.618027,24001,0.041886329650878906
1502226518.698883,25001,0.04319506511092186
1502227208.700241,26001,0.042861778289079666
1502227899.513253,27001,0.04321207478642464
1502228588.126751,28001,0.035417430102825165
1502229277.24218,29001,0.03713845834136009
1502229964.6007,30001,0.03938867151737213
